country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",21-03-2026 08:00,16.316553,80.413302,PM2.5,43,75,55
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",21-03-2026 08:00,16.316553,80.413302,SO2,10,21,13
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",21-03-2026 08:00,16.316553,80.413302,OZONE,20,37,20
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",21-03-2026 08:00,14.465052,78.824187,PM10,29,72,60
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",21-03-2026 08:00,14.465052,78.824187,SO2,9,19,12
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",21-03-2026 08:00,16.186555,81.13219,PM2.5,46,500,84
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",21-03-2026 08:00,16.186555,81.13219,NO2,10,25,16
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",21-03-2026 08:00,16.186555,81.13219,SO2,14,23,20
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",21-03-2026 08:00,16.186555,81.13219,OZONE,24,31,24
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",21-03-2026 08:00,14.438164,79.966814,NO2,14,19,16
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",21-03-2026 08:00,14.438164,79.966814,SO2,11,22,13
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",21-03-2026 08:00,14.438164,79.966814,OZONE,5,41,12
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-03-2026 08:00,16.9872867,81.7363176,PM10,19,70,30
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-03-2026 08:00,16.9872867,81.7363176,NH3,3,4,3
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",21-03-2026 08:00,16.509717,80.612222,NO2,24,33,29
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",21-03-2026 08:00,16.509717,80.612222,SO2,13,22,16
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",21-03-2026 08:00,16.509717,80.612222,CO,24,46,24
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",21-03-2026 08:00,16.554731,80.64911,SO2,11,15,14
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2026 08:00,17.72,83.3,PM2.5,14,62,30
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2026 08:00,17.72,83.3,SO2,1,101,16
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-03-2026 08:00,17.72,83.3,CO,8,50,26
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",21-03-2026 08:00,27.103358,93.679645,NH3,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",21-03-2026 08:00,26.11442,85.39813,NO2,6,27,20
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",21-03-2026 08:00,26.11442,85.39813,OZONE,22,311,88
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",21-03-2026 08:00,26.1403345,85.3650192,PM10,NA,NA,NA
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-03-2026 08:00,26.1209,85.3647,SO2,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",21-03-2026 08:00,25.586562,85.043586,PM2.5,45,96,76
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",21-03-2026 08:00,25.586562,85.043586,SO2,5,9,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",21-03-2026 08:00,25.592539,85.227158,NO2,13,18,15
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",21-03-2026 08:00,26.10887,91.589544,NH3,5,6,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",21-03-2026 08:00,26.10887,91.589544,SO2,6,19,11
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",21-03-2026 08:00,26.10887,91.589544,CO,14,86,36
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",21-03-2026 08:00,26.1875,91.744194,SO2,7,8,7
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",21-03-2026 08:00,26.181742,91.78063,CO,1,21,6
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",21-03-2026 08:00,26.349082,92.68449,PM2.5,34,138,64
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",21-03-2026 08:00,26.349082,92.68449,OZONE,11,27,17
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",21-03-2026 08:00,25.697189,85.2459,NH3,9,13,11
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",21-03-2026 08:00,25.697189,85.2459,OZONE,24,173,43
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",21-03-2026 08:00,25.560083,87.553265,PM2.5,2,45,27
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",21-03-2026 08:00,25.560083,87.553265,SO2,15,22,19
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",21-03-2026 08:00,26.0881305,87.93840336,CO,9,18,12
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",21-03-2026 08:00,26.63086,84.90051,PM10,12,155,46
India,Assam,Silchar,"Tarapur, Silchar - PCBA",21-03-2026 08:00,24.82827,92.79525,CO,35,57,40
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",21-03-2026 08:00,26.987634,94.636574,CO,12,40,31
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",21-03-2026 08:00,26.146529,87.454184,NH3,4,5,4
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",21-03-2026 08:00,25.5626095,84.663264,OZONE,4,14,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",21-03-2026 08:00,24.75746,84.366208,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",21-03-2026 08:00,13.67,79.35,OZONE,3,71,44
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",21-03-2026 08:00,13.615387,79.40923,CO,20,31,21
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",21-03-2026 08:00,16.536107,80.594233,NO2,15,27,17
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",21-03-2026 08:00,16.536107,80.594233,CO,21,46,21
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",21-03-2026 08:00,16.486692,80.699436,PM10,43,77,54
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",21-03-2026 08:00,16.486692,80.699436,SO2,10,19,15
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",21-03-2026 08:00,24.75746,84.366208,NO2,7,8,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",21-03-2026 08:00,24.75746,84.366208,OZONE,1,60,10
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",21-03-2026 08:00,25.42742023,86.13886079,NO2,11,17,14
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",21-03-2026 08:00,25.265194,87.012947,NO2,6,8,7
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",21-03-2026 08:00,25.204762,85.51496,SO2,7,10,10
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",21-03-2026 08:00,25.204762,85.51496,OZONE,1,2,2
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-03-2026 08:00,24.7955,84.9994,PM2.5,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",21-03-2026 08:00,24.792403,84.992416,NH3,1,2,1
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",21-03-2026 08:00,24.792403,84.992416,CO,1,12,4
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",21-03-2026 08:00,24.762518,84.982348,PM2.5,29,74,53
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",21-03-2026 08:00,14.675886,77.593027,NH3,4,7,5
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",21-03-2026 08:00,13.20488,79.097889,PM2.5,39,76,50
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",21-03-2026 08:00,13.20488,79.097889,PM10,40,73,50
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",21-03-2026 08:00,16.711754,81.092095,NH3,3,4,3
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",21-03-2026 08:00,16.711754,81.092095,SO2,8,101,13
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-03-2026 08:00,28.7500499,77.1112615,NH3,7,9,8
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-03-2026 08:00,28.7500499,77.1112615,SO2,28,38,34
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-03-2026 08:00,28.498571,77.26484,PM10,46,107,79
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-03-2026 08:00,28.498571,77.26484,NO2,22,47,30
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-03-2026 08:00,28.498571,77.26484,SO2,11,14,13
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-03-2026 08:00,28.498571,77.26484,CO,62,94,73
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",21-03-2026 08:00,28.5710274,77.0719006,PM2.5,40,163,87
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",21-03-2026 08:00,28.5710274,77.0719006,NO2,18,77,42
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",21-03-2026 08:00,28.5710274,77.0719006,CO,38,77,65
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",21-03-2026 08:00,28.5627763,77.1180053,CO,28,62,54
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",21-03-2026 08:00,28.493624,77.201159,PM10,19,132,85
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",21-03-2026 08:00,28.493624,77.201159,NO2,8,23,12
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",21-03-2026 08:00,28.493624,77.201159,SO2,55,59,57
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",21-03-2026 08:00,28.6811736,77.3025234,PM2.5,17,87,30
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",21-03-2026 08:00,28.6811736,77.3025234,NO2,25,83,64
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",21-03-2026 08:00,21.371751,81.664929,OZONE,3,38,10
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",21-03-2026 08:00,22.06631475,83.33820077,CO,22,42,24
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-03-2026 08:00,28.815329,77.15301,NO2,16,33,23
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-03-2026 08:00,28.815329,77.15301,SO2,7,11,8
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-03-2026 08:00,28.647622,77.315809,CO,64,107,94
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-03-2026 08:00,28.647622,77.315809,OZONE,7,23,11
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-03-2026 08:00,28.695381,77.181665,PM2.5,45,160,82
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-03-2026 08:00,28.695381,77.181665,CO,26,54,50
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-03-2026 08:00,28.695381,77.181665,OZONE,2,48,6
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-03-2026 08:00,28.7762,77.051074,NO2,7,30,15
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-03-2026 08:00,28.7762,77.051074,NH3,6,8,7
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",21-03-2026 08:00,22.08815,82.13737,CO,16,76,19
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",21-03-2026 08:00,22.118125,83.140608,OZONE,81,81,81
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",21-03-2026 08:00,22.368195,82.746431,CO,10,60,10
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",21-03-2026 08:00,22.348441,82.549611,PM2.5,12,211,66
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",21-03-2026 08:00,22.348441,82.549611,NO2,21,32,25
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",21-03-2026 08:00,22.348441,82.549611,NH3,1,1,1
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",21-03-2026 08:00,22.348441,82.549611,SO2,1,22,13
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",21-03-2026 08:00,22.12665,83.483212,SO2,13,42,23
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",21-03-2026 08:00,22.1910172,83.5197009,PM10,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",21-03-2026 08:00,25.0328,85.41948,NH3,3,3,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",21-03-2026 08:00,25.892357,86.590325,CO,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",21-03-2026 08:00,25.859655,85.77944,NH3,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",21-03-2026 08:00,24.952822,84.002396,PM10,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",21-03-2026 08:00,24.952822,84.002396,CO,41,108,62
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",21-03-2026 08:00,30.735567,76.775714,PM2.5,20,88,46
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-03-2026 08:00,25.610369,85.132568,SO2,8,27,16
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-03-2026 08:00,25.610369,85.132568,CO,17,48,40
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",21-03-2026 08:00,25.599486,85.113666,NH3,4,4,4
India,Bihar,Patna,"Samanpura, Patna - BSPCB",21-03-2026 08:00,25.596727,85.085624,CO,86,100,89
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",21-03-2026 08:00,25.366336,87.117468,OZONE,19,42,25
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",21-03-2026 08:00,22.1910172,83.5197009,NH3,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",21-03-2026 08:00,21.258815,81.578979,OZONE,5,12,6
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",21-03-2026 08:00,21.237755,81.705301,PM2.5,19,36,26
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",21-03-2026 08:00,21.237755,81.705301,SO2,2,8,4
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",21-03-2026 08:00,21.237755,81.705301,OZONE,1,29,2
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",21-03-2026 08:00,30.719859,76.738637,PM2.5,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",21-03-2026 08:00,21.194815,81.31477,PM10,11,25,17
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",21-03-2026 08:00,21.185571,81.343175,PM10,13,34,20
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",21-03-2026 08:00,21.185571,81.343175,NO2,10,11,11
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",21-03-2026 08:00,28.594169,77.1251,PM2.5,11,37,23
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",21-03-2026 08:00,28.656756,77.227234,NH3,7,14,9
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",21-03-2026 08:00,28.656756,77.227234,CO,104,120,115
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-03-2026 08:00,28.7500499,77.1112615,NO2,47,68,56
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",21-03-2026 08:00,28.54246,77.191651,CO,45,76,69
India,Delhi,Delhi,"ITO, Delhi - CPCB",21-03-2026 08:00,28.628624,77.24106,PM2.5,48,87,66
India,Delhi,Delhi,"ITO, Delhi - CPCB",21-03-2026 08:00,28.628624,77.24106,SO2,12,43,27
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",21-03-2026 08:00,28.58028,77.233829,PM10,34,129,82
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",21-03-2026 08:00,23.076793,72.627874,OZONE,4,66,12
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21-03-2026 08:00,21.613267,73.010555,NO2,NA,NA,NA
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21-03-2026 08:00,21.755417,72.139056,NO2,39,56,42
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21-03-2026 08:00,21.755417,72.139056,SO2,5,19,8
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21-03-2026 08:00,21.755417,72.139056,OZONE,3,11,7
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",21-03-2026 08:00,23.163798,72.677768,SO2,7,15,11
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",21-03-2026 08:00,23.163798,72.677768,CO,45,91,65
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-03-2026 08:00,28.623763,77.287209,NH3,7,16,10
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-03-2026 08:00,28.623763,77.287209,CO,43,86,81
